2018,Nov
Nov,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum

15,65.8 °F,48.7 °F,31.7 °F,39 °F,32 °F,24 °F,76 %,56 %,32 %,10 mph,3 mph,0 mph,30.24 in,30.13 in,30.02 in,0 in
16,72.6 °F,57.5 °F,42.7 °F,42 °F,37.9 °F,35 °F,75 %,52 %,27 %,13 mph,4 mph,0 mph,30.08 in,30.01 in,29.95 in,0 in
17,71.4 °F,58.2 °F,45 °F,53 °F,46.2 °F,37 °F,81 %,64 %,48 %,17 mph,3 mph,21 mph,30.06 in,29.99 in,29.93 in,0 in
18,60.7 °F,49 °F,37.4 °F,51 °F,34.1 °F,29 °F,81 %,73 %,70 %,11 mph,4 mph,0 mph,30.25 in,30.13 in,30.01 in,0 in
19,55 °F,45.5 °F,36.1 °F,37 °F,32.8 °F,29 °F,78 %,65 %,50 %,7 mph,2 mph,0 mph,30.19 in,30.13 in,30.07 in,0 in
20,59.4 °F,47.7 °F,36.1 °F,34 °F,32.3 °F,30 °F,81 %,59 %,37 %,9 mph,2 mph,0 mph,30.32 in,30.25 in,30.18 in,0 in
21,60.3 °F,48.4 °F,36.5 °F,37 °F,33.8 °F,29 °F,79 %,60 %,37 %,5 mph,1 mph,0 mph,30.31 in,30.24 in,30.17 in,0 in
22,64.9 °F,53.2 °F,41.5 °F,44 °F,39.8 °F,35 °F,79 %,63 %,45 %,12 mph,2 mph,0 mph,30.24 in,30.1 in,29.95 in,0 in
23,75.5 °F,63.2 °F,51 °F,54 °F,43.9 °F,38 °F,83 %,57 %,30 %,19 mph,5 mph,20 mph,29.95 in,29.79 in,29.63 in,0 in
24,73 °F,61.5 °F,50 °F,48 °F,41.1 °F,38 °F,65 %,49 %,30 %,17 mph,4 mph,0 mph,29.77 in,29.67 in,29.56 in,0 in
25,62.1 °F,50.7 °F,39.2 °F,51 °F,37.9 °F,28 °F,73 %,57 %,43 %,18 mph,7 mph,18 mph,30.14 in,29.83 in,29.52 in,0 in
26,51.5 °F,41.3 °F,31.2 °F,30 °F,27.5 °F,24 °F,75 %,62 %,44 %,11 mph,3 mph,0 mph,30.29 in,30.22 in,30.14 in,0 in
27,67.1 °F,51.9 °F,36.7 °F,35 °F,31.4 °F,28 °F,73 %,52 %,27 %,11 mph,4 mph,0 mph,30.17 in,30.05 in,29.92 in,0 in
28,70.9 °F,57.2 °F,43.9 °F,51 °F,40.6 °F,31 °F,73 %,55 %,40 %,19 mph,7 mph,22 mph,29.92 in,29.81 in,29.69 in,0 in
29,78.1 °F,65.4 °F,53.1 °F,60 °F,54.5 °F,49 °F,88 %,71 %,49 %,16 mph,6 mph,0 mph,29.75 in,29.69 in,29.63 in,0 in
30,73 °F,68.6 °F,64.1 °F,64 °F,61.2 °F,57 °F,88 %,80 %,71 %,15 mph,5 mph,22 mph,29.71 in,29.57 in,29.43 in,0.03 in
2018,Temperature,Dew Point,Humidity,Speed,Pressure,Precip. Accum.
Dec,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
1,72.5 °F,64 °F,55.5 °F,57 °F,39.5 °F,33 °F,75 %,43 %,29 %,15 mph,5 mph,0 mph,29.55 in,29.49 in,29.44 in,0 in
2,60 °F,52.8 °F,45.5 °F,38 °F,36 °F,32 °F,65 %,54 %,37 %,9 mph,3 mph,0 mph,29.94 in,29.74 in,29.54 in,0 in
