2018,Jan
Jan,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum

28,77.5 °F,59.5 °F,41.4 °F,34.7 °F,25.2 °F,15.8 °F,66 %,33 %,11 %,10 mph,2 mph,10 mph,30.06 in,30 in,29.94 in,0 in
29,64.2 °F,53.5 °F,42.8 °F,36 °F,26.9 °F,16.7 °F,64 %,40 %,20 %,17 mph,5 mph,17 mph,30.29 in,30.17 in,30.05 in,0 in
30,70.5 °F,55.5 °F,40.5 °F,34.2 °F,24 °F,17.6 °F,51 %,32 %,16 %,23 mph,7 mph,23 mph,30.22 in,30.01 in,29.8 in,0 in
31,82 °F,66.7 °F,51.4 °F,49.8 °F,41.1 °F,33.4 °F,82 %,44 %,21 %,26 mph,11 mph,26 mph,29.81 in,29.65 in,29.5 in,0 in
2018,Temperature,Dew Point,Humidity,Speed,Pressure,Precip. Accum.
Feb,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Gust,High,Avg,Low,Sum
1,72.5 °F,60.5 °F,48.7 °F,54.5 °F,38.9 °F,14.4 °F,88 %,47 %,20 %,25 mph,8 mph,25 mph,30.11 in,29.81 in,29.51 in,0 in
2,63.3 °F,50.8 °F,38.3 °F,23 °F,15.2 °F,8.2 °F,37 %,25 %,17 %,14 mph,5 mph,14 mph,30.26 in,30.13 in,30 in,0 in
3,65.8 °F,56.3 °F,47.1 °F,57.6 °F,37.3 °F,-0.6 °F,90 %,53 %,25 %,21 mph,8 mph,21 mph,30.01 in,29.75 in,29.49 in,0 in
4,75.9 °F,57.7 °F,39.4 °F,57.7 °F,46.7 °F,-8.1 °F,99 %,69 %,31 %,18 mph,5 mph,18 mph,29.99 in,29.76 in,29.52 in,0 in
5,50.9 °F,40.3 °F,29.7 °F,36.5 °F,25.9 °F,11.8 °F,72 %,56 %,38 %,16 mph,4 mph,16 mph,29.99 in,29.85 in,29.7 in,0 in
